node1ID,node2ID,branchID,x1,y1,z1,x2,y2,z2,radius,length,R,G,B,time,type,vitesse_primaire,vitesse_secondaire,simulation_id
0,1,0,0,0,-3,0.0888,-0.0436,-3.0243,0.0337,0.1019,0.4314,0.3922,0.1961,0.0796,1,2,0.2,7
1,2,0,0.0888,-0.0436,-3.0243,0.555,-0.15030000000000002,-3.1701,0.0337,0.5,0.4314,0.3922,0.1961,0.4718,1,2,0.2,7
2,3,0,0.555,-0.15030000000000002,-3.1701,0.6291,-0.1638,-3.1938,0.0337,0.0789,0.4314,0.3922,0.1961,0.5339,1,2,0.2,7
3,4,0,0.6291,-0.1638,-3.1938,1.0989,-0.2515,-3.3405,0.0337,0.5,0.4314,0.3922,0.1961,0.9288000000000001,1,2,0.2,7
4,5,0,1.0989,-0.2515,-3.3405,1.3126,-0.2999,-3.3978,0.0337,0.22640000000000002,0.4314,0.3922,0.1961,1.1083,1,2,0.2,7
5,6,0,1.3126,-0.2999,-3.3978,1.7752000000000001,-0.35700000000000004,-3.5785,0.0337,0.5,0.4314,0.3922,0.1961,1.5065000000000002,1,2,0.2,7
6,7,0,1.7752000000000001,-0.35700000000000004,-3.5785,1.8532000000000002,-0.3667,-3.6088,0.0337,0.0843,0.4314,0.3922,0.1961,1.5738,1,2,0.2,7
7,8,0,1.8532000000000002,-0.3667,-3.6088,2.2816,-0.5017,-3.8286000000000002,0.0337,0.5,0.4314,0.3922,0.1961,1.9747000000000001,1,2,0.2,7
8,9,0,2.2816,-0.5017,-3.8286000000000002,2.3249,-0.5134000000000001,-3.8521,0.0337,0.0507,0.4314,0.3922,0.1961,2.0155000000000003,1,2,0.2,7
9,10,0,2.3249,-0.5134000000000001,-3.8521,2.7409000000000003,-0.6324000000000001,-4.1026,0.0337,0.5,0.4314,0.3922,0.1961,2.4191000000000003,1,2,0.2,7
10,11,0,2.7409000000000003,-0.6324000000000001,-4.1026,2.8581000000000003,-0.6652,-4.1816,0.0337,0.1451,0.4314,0.3922,0.1961,2.5366,1,2,0.2,7
11,12,0,2.8581000000000003,-0.6652,-4.1816,3.1906000000000003,-0.7997000000000001,-4.4749,0.0337,0.46330000000000005,0.4314,0.3922,0.1961,2.9133,1,2,0.2,7
12,13,0,3.1906000000000003,-0.7997000000000001,-4.4749,3.5773,-0.8772000000000001,-4.7822000000000005,0.0337,0.5,0.4314,0.3922,0.1961,3.3223000000000003,1,2,0.2,7
13,14,0,3.5773,-0.8772000000000001,-4.7822000000000005,3.6556,-0.8927,-4.8447000000000005,0.0337,0.1014,0.4314,0.3922,0.1961,3.4055,1,2,0.2,7
14,15,0,3.6556,-0.8927,-4.8447000000000005,4.0353,-0.9272,-5.1681,0.0337,0.5,0.4314,0.3922,0.1961,3.8175000000000003,1,2,0.2,7
15,16,0,4.0353,-0.9272,-5.1681,4.0798000000000005,-0.9312,-5.2061,0.0337,0.058600000000000006,0.4314,0.3922,0.1961,3.8659000000000003,1,2,0.2,7
16,17,0,4.0798000000000005,-0.9312,-5.2061,4.4537,-0.9772000000000001,-5.534800000000001,0.0337,0.5,0.4314,0.3922,0.1961,4.280600000000001,1,2,0.2,7
17,18,0,4.4537,-0.9772000000000001,-5.534800000000001,4.4856,-0.9799,-5.5636,0.0337,0.0431,0.4314,0.3922,0.1961,4.3165000000000004,1,2,0.2,7
18,19,0,4.4856,-0.9799,-5.5636,4.818700000000001,-0.9875,-5.9365000000000006,0.0337,0.5,0.4314,0.3922,0.1961,4.734,1,2,0.2,7
19,20,0,4.818700000000001,-0.9875,-5.9365000000000006,4.9123,-0.9914000000000001,-6.0477,0.0337,0.14550000000000002,0.4314,0.3922,0.1961,4.856,1,2,0.2,7
20,21,0,4.9123,-0.9914000000000001,-6.0477,5.224,-1.0017,-6.4386,0.0337,0.5,0.4314,0.3922,0.1961,5.276800000000001,1,2,0.2,7
21,22,0,5.224,-1.0017,-6.4386,5.2899,-0.9997,-6.5244,0.0337,0.10830000000000001,0.4314,0.3922,0.1961,5.3683000000000005,1,2,0.2,7
22,23,0,5.2899,-0.9997,-6.5244,5.5854,-0.9941000000000001,-6.927700000000001,0.0337,0.5,0.4314,0.3922,0.1961,5.792400000000001,1,2,0.2,7
23,24,0,5.5854,-0.9941000000000001,-6.927700000000001,5.6409,-0.9824,-7.001,0.0337,0.0927,0.4314,0.3922,0.1961,5.871300000000001,1,2,0.2,7
24,25,0,5.6409,-0.9824,-7.001,5.942200000000001,-0.9771000000000001,-7.4,0.0337,0.5,0.4314,0.3922,0.1961,6.298500000000001,1,2,0.2,7
25,26,0,5.942200000000001,-0.9771000000000001,-7.4,6.003900000000001,-0.9767,-7.4863,0.0337,0.1061,0.4314,0.3922,0.1961,6.3895,1,2,0.2,7
26,27,0,6.003900000000001,-0.9767,-7.4863,6.2945,-0.9744,-7.8932,0.0337,0.5,0.4314,0.3922,0.1961,6.82,1,2,0.2,7
27,28,0,6.2945,-0.9744,-7.8932,6.3219,-0.9729000000000001,-7.9332,0.0337,0.0485,0.4314,0.3922,0.1961,6.8619,1,2,0.2,7
28,29,0,6.3219,-0.9729000000000001,-7.9332,6.599600000000001,-0.9532,-8.348600000000001,0.0337,0.5,0.4314,0.3922,0.1961,7.2955000000000005,1,2,0.2,7
29,30,0,6.599600000000001,-0.9532,-8.348600000000001,6.6783,-0.9376000000000001,-8.4769,0.0337,0.1514,0.4314,0.3922,0.1961,7.4272,1,2,0.2,7
30,31,0,6.6783,-0.9376000000000001,-8.4769,6.9148000000000005,-0.9242,-8.917200000000001,0.0337,0.5,0.4314,0.3922,0.1961,7.864400000000001,1,2,0.2,7
31,32,0,6.9148000000000005,-0.9242,-8.917200000000001,6.9336,-0.9222,-8.9541,0.0337,0.0414,0.4314,0.3922,0.1961,7.9008,1,2,0.2,7
32,33,0,6.9336,-0.9222,-8.9541,7.1509,-0.936,-9.404200000000001,0.0337,0.5,0.4314,0.3922,0.1961,8.341000000000001,1,2,0.2,7
33,34,0,7.1509,-0.936,-9.404200000000001,7.1705000000000005,-0.9371,-9.4463,0.0337,0.0465,0.4314,0.3922,0.1961,8.382100000000001,1,2,0.2,7
