node1ID,node2ID,branchID,x1,y1,z1,x2,y2,z2,radius,length,R,G,B,time,type,vitesse_primaire,vitesse_secondaire,simulation_id
0,1,0,0,0,-3,-0.09480000000000001,-0.0398,-3.0036,0.039400000000000004,0.1029,0.4314,0.3922,0.1961,0.050300000000000004,1,2,0.4,9
1,2,0,-0.09480000000000001,-0.0398,-3.0036,-0.514,-0.21710000000000002,-3.019,0.039400000000000004,0.4554,0.4314,0.3922,0.1961,0.2737,1,2,0.4,9
2,3,0,-0.514,-0.21710000000000002,-3.019,-0.9734,-0.4136,-3.0343,0.039400000000000004,0.5,0.4314,0.3922,0.1961,0.5204,1,2,0.4,9
3,4,0,-0.9734,-0.4136,-3.0343,-1.1094000000000002,-0.47100000000000003,-3.0373,0.039400000000000004,0.1476,0.4314,0.3922,0.1961,0.5934,1,2,0.4,9
4,5,0,-1.1094000000000002,-0.47100000000000003,-3.0373,-1.5735000000000001,-0.656,-3.056,0.039400000000000004,0.5,0.4314,0.3922,0.1961,0.8419000000000001,1,2,0.4,9
5,6,0,-1.5735000000000001,-0.656,-3.056,-1.7127000000000001,-0.7122,-3.0672,0.039400000000000004,0.1505,0.4314,0.3922,0.1961,0.917,1,2,0.4,9
6,7,0,-1.7127000000000001,-0.7122,-3.0672,-2.1684,-0.9072,-3.1329000000000002,0.039400000000000004,0.5,0.4314,0.3922,0.1961,1.1672,1,2,0.4,9
7,8,0,-2.1684,-0.9072,-3.1329000000000002,-2.294,-0.9698,-3.1587,0.039400000000000004,0.1427,0.4314,0.3922,0.1961,1.2389000000000001,1,2,0.4,9
8,9,0,-2.294,-0.9698,-3.1587,-2.7296,-1.197,-3.2515,0.039400000000000004,0.5,0.4314,0.3922,0.1961,1.4911,1,2,0.4,9
9,10,0,-2.7296,-1.197,-3.2515,-2.7357,-1.2002000000000002,-3.253,0.039400000000000004,0.007,0.4314,0.3922,0.1961,1.4946000000000002,1,2,0.4,9
10,11,0,-2.7357,-1.2002000000000002,-3.253,-3.1706000000000003,-1.4408,-3.3071,0.039400000000000004,0.5,0.4314,0.3922,0.1961,1.7482,1,2,0.4,9
11,12,0,-3.1706000000000003,-1.4408,-3.3071,-3.2503,-1.4854,-3.3209,0.039400000000000004,0.09240000000000001,0.4314,0.3922,0.1961,1.7953000000000001,1,2,0.4,9
12,13,0,-3.2503,-1.4854,-3.3209,-3.6888,-1.6776,-3.4651,0.039400000000000004,0.5,0.4314,0.3922,0.1961,2.0506,1,2,0.4,9
13,14,0,-3.6888,-1.6776,-3.4651,-3.8261000000000003,-1.7438,-3.4927,0.039400000000000004,0.15480000000000002,0.4314,0.3922,0.1961,2.13,1,2,0.4,9
14,15,0,-3.8261000000000003,-1.7438,-3.4927,-4.2237,-1.9857,-3.6754000000000002,0.039400000000000004,0.5,0.4314,0.3922,0.1961,2.3873,1,2,0.4,9
15,16,0,-4.2237,-1.9857,-3.6754000000000002,-4.3067,-2.0380000000000003,-3.7156000000000002,0.039400000000000004,0.1061,0.4314,0.3922,0.1961,2.4421,1,2,0.4,9
16,17,0,-4.3067,-2.0380000000000003,-3.7156000000000002,-4.6732000000000005,-2.2604,-3.9730000000000003,0.039400000000000004,0.5,0.4314,0.3922,0.1961,2.7013000000000003,1,2,0.4,9
17,18,0,-4.6732000000000005,-2.2604,-3.9730000000000003,-4.7157,-2.2852,-4.0034,0.039400000000000004,0.057800000000000004,0.4314,0.3922,0.1961,2.7313,1,2,0.4,9
18,19,0,-4.7157,-2.2852,-4.0034,-5.0798000000000005,-2.4536000000000002,-4.3018,0.039400000000000004,0.5,0.4314,0.3922,0.1961,2.9922,1,2,0.4,9
19,20,0,-5.0798000000000005,-2.4536000000000002,-4.3018,-5.1308,-2.4770000000000003,-4.3453,0.039400000000000004,0.07100000000000001,0.4314,0.3922,0.1961,3.0294000000000003,1,2,0.4,9
20,21,0,-5.1308,-2.4770000000000003,-4.3453,-5.493,-2.6710000000000003,-4.6301000000000005,0.039400000000000004,0.5,0.4314,0.3922,0.1961,3.2921,1,2,0.4,9
21,22,0,-5.493,-2.6710000000000003,-4.6301000000000005,-5.4961,-2.6727000000000003,-4.6326,0.039400000000000004,0.0043,0.4314,0.3922,0.1961,3.2943000000000002,1,2,0.4,9
22,23,0,-5.4961,-2.6727000000000003,-4.6326,-5.7996,-2.9306,-4.9348,0.039400000000000004,0.5,0.4314,0.3922,0.1961,3.5586,1,2,0.4,9
23,24,0,-5.7996,-2.9306,-4.9348,-5.8192,-2.9473000000000003,-4.9543,0.039400000000000004,0.0323,0.4314,0.3922,0.1961,3.5757000000000003,1,2,0.4,9
24,25,0,-5.8192,-2.9473000000000003,-4.9543,-6.140000000000001,-3.1574,-5.2752,0.039400000000000004,0.5,0.4314,0.3922,0.1961,3.8417000000000003,1,2,0.4,9
25,26,0,-6.140000000000001,-3.1574,-5.2752,-6.2241,-3.2128,-5.361000000000001,0.039400000000000004,0.1323,0.4314,0.3922,0.1961,3.9124000000000003,1,2,0.4,9
26,27,0,-6.2241,-3.2128,-5.361000000000001,-6.5426,-3.4202000000000004,-5.686,0.039400000000000004,0.5,0.4314,0.3922,0.1961,4.180400000000001,1,2,0.4,9
27,28,0,-6.5426,-3.4202000000000004,-5.686,-6.5857,-3.4546,-5.7410000000000005,0.039400000000000004,0.0779,0.4314,0.3922,0.1961,4.222300000000001,1,2,0.4,9
28,29,0,-6.5857,-3.4546,-5.7410000000000005,-6.888,-3.6089,-6.1081,0.039400000000000004,0.5,0.4314,0.3922,0.1961,4.4922,1,2,0.4,9
29,30,0,-6.888,-3.6089,-6.1081,-6.9594000000000005,-3.6529000000000003,-6.2009,0.039400000000000004,0.12510000000000002,0.4314,0.3922,0.1961,4.5600000000000005,1,2,0.4,9
30,31,0,-6.9594000000000005,-3.6529000000000003,-6.2009,-7.2289,-3.7762000000000002,-6.6036,0.039400000000000004,0.5,0.4314,0.3922,0.1961,4.8321000000000005,1,2,0.4,9
31,32,0,-7.2289,-3.7762000000000002,-6.6036,-7.2976,-3.8163,-6.7214,0.039400000000000004,0.1421,0.4314,0.3922,0.1961,4.9097,1,2,0.4,9
32,33,0,-7.2976,-3.8163,-6.7214,-7.542800000000001,-3.9548,-7.1345,0.039400000000000004,0.5,0.4314,0.3922,0.1961,5.1839,1,2,0.4,9
33,34,0,-7.542800000000001,-3.9548,-7.1345,-7.581300000000001,-3.9769,-7.1996,0.039400000000000004,0.07880000000000001,0.4314,0.3922,0.1961,5.2273000000000005,1,2,0.4,9
34,35,0,-7.581300000000001,-3.9769,-7.1996,-7.8227,-4.0781,-7.6192,0.039400000000000004,0.49450000000000005,0.4314,0.3922,0.1961,5.5004,1,2,0.4,9
35,36,0,-7.8227,-4.0781,-7.6192,-8.09,-4.1767,-8.030100000000001,0.039400000000000004,0.5,0.4314,0.3922,0.1961,5.7784,1,2,0.4,9
36,37,0,-8.09,-4.1767,-8.030100000000001,-8.1578,-4.2107,-8.149000000000001,0.039400000000000004,0.1411,0.4314,0.3922,0.1961,5.8571,1,2,0.4,9
37,38,0,-8.1578,-4.2107,-8.149000000000001,-8.405700000000001,-4.3343,-8.5653,0.039400000000000004,0.5,0.4314,0.3922,0.1961,6.1374,1,2,0.4,9
38,39,0,-8.405700000000001,-4.3343,-8.5653,-8.4197,-4.3414,-8.5891,0.039400000000000004,0.0285,0.4314,0.3922,0.1961,6.1534,1,2,0.4,9
39,40,0,-8.4197,-4.3414,-8.5891,-8.5829,-4.5026,-9.0334,0.039400000000000004,0.5,0.4314,0.3922,0.1961,6.4355,1,2,0.4,9
40,41,0,-8.5829,-4.5026,-9.0334,-8.5853,-4.5049,-9.040000000000001,0.039400000000000004,0.0074,0.4314,0.3922,0.1961,6.4397,1,2,0.4,9
41,42,0,-8.5853,-4.5049,-9.040000000000001,-8.7593,-4.655600000000001,-9.4838,0.039400000000000004,0.5,0.4314,0.3922,0.1961,6.7237,1,2,0.4,9
42,43,0,-8.7593,-4.655600000000001,-9.4838,-8.8392,-4.7209,-9.671000000000001,0.039400000000000004,0.2137,0.4314,0.3922,0.1961,6.8457,1,2,0.4,9
43,44,0,-8.8392,-4.7209,-9.671000000000001,-9.0416,-4.876,-10.1011,0.039400000000000004,0.5,0.4314,0.3922,0.1961,7.132300000000001,1,2,0.4,9
